cell_id,red_id,FeO,TiO,Al2O3,SiO2,cell_area,is_clipped,geometry_wkt
C00001,R23,0.0,7.68,19.4,0.0,62771.66288216476,True,"POLYGON ((4189.04 2627.7, 3910.05 2394.21, 3801.09 2597, 3832.49 2711.67, 4189.04 2627.7))"
C00002,R03,0.0,8.82,0.0,10.29,48196.67538173737,True,"POLYGON ((3103.58 1570.2, 3315.06 1663.32, 3369.63 1442.29, 3279.31 1318.19, 3103.58 1570.2))"
C00003,R08,39.95,0.0,0.0,46.46,111726.96627012835,False,"POLYGON ((4092 1816.51, 4064.64 1849.46, 3977.52 2242.19, 4248.93 2266.53, 4321.2 2219.5, 4308.93 1947.7, 4092 1816.51))"
C00004,R08,39.95,0.0,0.0,46.46,89234.78742143883,False,"POLYGON ((4308.93 1947.7, 4321.2 2219.5, 4476.28 2259.03, 4628.74 2048.32, 4539.65 1851.21, 4308.93 1947.7))"
C00005,R08,39.95,0.0,0.0,46.46,61891.41135133639,True,"POLYGON ((4544.97 2339.23, 4476.28 2259.03, 4321.2 2219.5, 4248.93 2266.53, 4251.82 2587.75, 4544.97 2339.23))"
C00006,R23,0.0,7.68,19.4,0.0,88667.09414452041,False,"POLYGON ((3362.36 2485.41, 3371.23 2483.02, 3659.79 2258.98, 3527.21 2009.54, 3314.43 1987.76, 3391.56 2099.58, 3362.36 2485.41))"
C00007,R03,0.0,8.82,0.0,10.29,80053.32490041762,False,"POLYGON ((3369.63 1442.29, 3315.06 1663.32, 3358.36 1739.86, 3657.77 1648.39, 3693.99 1592.97, 3685.27 1481.45, 3369.63 1442.29))"
C00008,R20,0.0,3.03,0.0,16.87,110076.14926024391,False,"POLYGON ((3720.08 1130, 3710.25 1183.25, 3737.05 1339.59, 4146.7 1429.39, 4215.82 1169.79, 3755.59 1130, 3720.08 1130))"
C00009,R23,0.0,7.68,19.4,0.0,67390.45778435924,True,"POLYGON ((3527.21 2009.54, 3659.79 2258.98, 3840.74 2247.18, 3757.15 1944.28, 3689.31 1907.1, 3527.21 2009.54))"
C00010,R10,0.0,0.0,12.8,20.44,164308.02611269994,True,"POLYGON ((4083.08 1738.8, 4092 1816.51, 4308.93 1947.7, 4539.65 1851.21, 4682.82 1567.84, 4189.93 1545.82, 4083.08 1738.8))"
C00011,R16,53.82,0.0,11.28,40.67,97392.12879653696,False,"POLYGON ((3657.77 1648.39, 3689.31 1907.1, 3757.15 1944.28, 4064.64 1849.46, 4092 1816.51, 4083.08 1738.8, 3693.99 1592.97, 3657.77 1648.39))"
C00012,R03,0.0,8.82,0.0,10.29,101548.77547487243,False,"POLYGON ((3657.77 1648.39, 3358.36 1739.86, 3288.64 1950.38, 3314.43 1987.76, 3527.21 2009.54, 3689.31 1907.1, 3657.77 1648.39))"
C00013,R08,39.95,0.0,0.0,46.46,121811.60894086698,True,"POLYGON ((4743.42 1529.35, 4682.82 1567.84, 4539.65 1851.21, 4628.74 2048.32, 4848.37 2112.13, 4870 2096.44, 4870 1878.6, 4743.42 1529.35))"
C00014,R03,0.0,8.82,0.0,10.29,91253.88962505615,False,"POLYGON ((3279.31 1318.19, 3369.63 1442.29, 3685.27 1481.45, 3737.05 1339.59, 3710.25 1183.25, 3299.69 1288.96, 3279.31 1318.19))"
C00015,R20,0.0,3.03,0.0,16.87,132562.12522590518,True,"POLYGON ((3685.27 1481.45, 3693.99 1592.97, 4083.08 1738.8, 4189.93 1545.82, 4146.7 1429.39, 3737.05 1339.59, 3685.27 1481.45))"
C00016,R08,39.95,0.0,0.0,46.46,47104.02862288791,True,"POLYGON ((4848.37 2112.13, 4628.74 2048.32, 4476.28 2259.03, 4544.97 2339.23, 4602.29 2290.63, 4848.37 2112.13))"
C00017,R23,0.0,7.68,19.4,0.0,79488.21777235987,False,"POLYGON ((3757.15 1944.28, 3840.74 2247.18, 3910.05 2278.49, 3977.52 2242.19, 4064.64 1849.46, 3757.15 1944.28))"
C00018,R19,0.0,11.15,0.0,0.0,108009.12015433784,False,"POLYGON ((3832.49 2711.67, 3801.09 2597, 3371.23 2483.02, 3362.36 2485.41, 3336.4 2828.51, 3832.49 2711.67))"
C00019,R08,39.95,0.0,0.0,46.46,93143.32344969781,False,"POLYGON ((3977.52 2242.19, 3910.05 2278.49, 3910.05 2394.21, 4189.04 2627.7, 4210.72 2622.6, 4251.82 2587.75, 4248.93 2266.53, 3977.52 2242.19))"
C00020,R10,0.0,0.0,12.8,20.44,174452.38272517704,True,"POLYGON ((4215.82 1169.79, 4146.7 1429.39, 4189.93 1545.82, 4682.82 1567.84, 4743.42 1529.35, 4657.18 1291.44, 4300.98 1177.16, 4215.82 1169.79))"
C00021,R11,37.14,10.66,27.57,0.0,35015.245356178275,True,"POLYGON ((3299.69 1288.96, 3710.25 1183.25, 3720.08 1130, 3410.54 1130, 3299.69 1288.96))"
C00022,R03,0.0,8.82,0.0,10.29,51330.20295870485,True,"POLYGON ((3288.64 1950.38, 3358.36 1739.86, 3315.06 1663.32, 3103.58 1570.2, 3064.79 1625.84, 3288.64 1950.38))"
C00023,R23,0.0,7.68,19.4,0.0,115060.30863030942,True,"POLYGON ((3659.79 2258.98, 3371.23 2483.02, 3801.09 2597, 3910.05 2394.21, 3910.05 2278.49, 3840.74 2247.18, 3659.79 2258.98))"
